2026-09-13 12:55:05 | __main__                       | INFO     |   Run 8/30: 41.9 tok/s, TTFT=21.1ms, TPOT=20.1ms, VRAM=1984MB, Power=58.5W, J/tok=1.376
2026-09-13 12:55:08 | __main__                       | INFO     |   Run 9/30: 42.1 tok/s, TTFT=21.7ms, TPOT=20.0ms, VRAM=1984MB, Power=59.0W, J/tok=1.387
2026-09-13 12:55:11 | __main__                       | INFO     |   Run 10/30: 40.1 tok/s, TTFT=21.9ms, TPOT=21.2ms, VRAM=1983MB, Power=58.0W, J/tok=1.432
2026-09-13 12:55:14 | __main__                       | INFO     |   Run 11/30: 40.6 tok/s, TTFT=21.2ms, TPOT=20.9ms, VRAM=1985MB, Power=57.9W, J/tok=1.408
2026-09-13 12:55:18 | __main__                       | INFO     |   Run 12/30: 41.4 tok/s, TTFT=21.7ms, TPOT=20.4ms, VRAM=1985MB, Power=59.3W, J/tok=1.419
2026-09-13 12:55:21 | __main__                       | INFO     |   Run 13/30: 39.7 tok/s, TTFT=20.7ms, TPOT=21.5ms, VRAM=1984MB, Power=57.9W, J/tok=1.453
2026-09-13 12:55:24 | __main__                       | INFO     |   Run 14/30: 41.9 tok/s, TTFT=23.5ms, TPOT=20.1ms, VRAM=1983MB, Power=59.0W, J/tok=1.388
2026-09-13 12:55:27 | __main__                       | INFO     |   Run 15/30: 40.9 tok/s, TTFT=21.1ms, TPOT=20.6ms, VRAM=1984MB, Power=59.4W, J/tok=1.443
2026-09-13 12:55:30 | __main__                       | INFO     |   Run 16/30: 40.8 tok/s, TTFT=22.9ms, TPOT=20.8ms, VRAM=1983MB, Power=59.3W, J/tok=1.442
2026-09-13 12:55:33 | __main__                       | INFO     |   Run 17/30: 40.0 tok/s, TTFT=22.6ms, TPOT=21.3ms, VRAM=1983MB, Power=58.4W, J/tok=1.441
2026-09-13 12:55:36 | __main__                       | INFO     |   Run 18/30: 41.5 tok/s, TTFT=22.6ms, TPOT=20.4ms, VRAM=1983MB, Power=59.4W, J/tok=1.423
2026-09-13 12:55:40 | __main__                       | INFO     |   Run 19/30: 39.5 tok/s, TTFT=138.0ms, TPOT=20.7ms, VRAM=1987MB, Power=59.0W, J/tok=1.480
2026-09-13 12:55:43 | __main__                       | INFO     |   Run 20/30: 41.7 tok/s, TTFT=20.8ms, TPOT=20.2ms, VRAM=1984MB, Power=60.2W, J/tok=1.440
2026-09-13 12:55:46 | __main__                       | INFO     |   Run 21/30: 38.9 tok/s, TTFT=30.2ms, TPOT=22.0ms, VRAM=1989MB, Power=58.7W, J/tok=1.495
2026-09-13 12:55:49 | __main__                       | INFO     |   Run 22/30: 40.1 tok/s, TTFT=30.0ms, TPOT=21.1ms, VRAM=1993MB, Power=59.2W, J/tok=1.461
2026-09-13 12:55:52 | __main__                       | INFO     |   Run 23/30: 39.6 tok/s, TTFT=31.3ms, TPOT=21.5ms, VRAM=1991MB, Power=59.5W, J/tok=1.495
2026-09-13 12:55:56 | __main__                       | INFO     |   Run 24/30: 39.0 tok/s, TTFT=28.0ms, TPOT=21.8ms, VRAM=1992MB, Power=59.0W, J/tok=1.505
2026-09-13 12:55:59 | __main__                       | INFO     |   Run 25/30: 38.8 tok/s, TTFT=30.0ms, TPOT=22.0ms, VRAM=1991MB, Power=58.4W, J/tok=1.488
2026-09-13 12:56:02 | __main__                       | INFO     |   Run 26/30: 40.6 tok/s, TTFT=28.9ms, TPOT=20.9ms, VRAM=1989MB, Power=60.0W, J/tok=1.460
2026-09-13 12:56:05 | __main__                       | INFO     |   Run 27/30: 41.6 tok/s, TTFT=27.9ms, TPOT=20.3ms, VRAM=1988MB, Power=60.9W, J/tok=1.457
2026-09-13 12:56:08 | __main__                       | INFO     |   Run 28/30: 41.9 tok/s, TTFT=32.3ms, TPOT=20.0ms, VRAM=1991MB, Power=61.4W, J/tok=1.446
2026-09-13 12:56:12 | __main__                       | INFO     |   Run 29/30: 38.2 tok/s, TTFT=29.8ms, TPOT=22.4ms, VRAM=1990MB, Power=59.7W, J/tok=1.546
2026-09-13 12:56:15 | __main__                       | INFO     |   Run 30/30: 40.7 tok/s, TTFT=29.1ms, TPOT=20.8ms, VRAM=1993MB, Power=60.2W, J/tok=1.465
2026-09-13 12:56:15 | __main__                       | INFO     | 
--- Summary (ctx=128) ---
2026-09-13 12:56:15 | __main__                       | INFO     |   tok/s:  40.6 ± 1.1
2026-09-13 12:56:15 | __main__                       | INFO     |   TTFT:   29.2 ± 20.6 ms
2026-09-13 12:56:15 | __main__                       | INFO     |   TPOT:   20.9 ± 0.7 ms
2026-09-13 12:56:15 | __main__                       | INFO     |   VRAM:   peak=1986MB, alloc=1983MB
2026-09-13 12:56:15 | __main__                       | INFO     |   GPU:    util=73%, power=58.7W, temp=75°C
2026-09-13 12:56:15 | __main__                       | INFO     |   Energy: 1.4324 J/token
2026-09-13 12:56:15 | __main__                       | INFO     | 
============================================================
2026-09-13 12:56:15 | __main__                       | INFO     | CONTEXT LENGTH: 512
2026-09-13 12:56:15 | __main__                       | INFO     | ============================================================
2026-09-13 12:56:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:56:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:56:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
2026-09-13 12:56:15 | httpx                          | INFO     | HTTP Request: GET https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
2026-09-13 12:56:16 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:56:16 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
2026-09-13 12:56:17 | httpx                          | INFO     | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/wikitext/wikitext.py "HTTP/1.1 200 OK"
2026-09-13 12:56:17 | __main__                       | WARNING  | Could not load wikitext: Invalid HF URI 'hf://datasets/wikitext@b08601e04326c79dfdd32d625aee71d232d685c3/.huggingface.yaml'. Repository id must be 'namespace/name', got 'wikitext'.. Using repeated text.
2026-09-13 12:56:20 | __main__                       | INFO     | Prepared 40 prompts at ~512 tokens
2026-09-13 12:56:20 | __main__                       | INFO     | Warmup: 10 runs...
2026-09-13 12:56:30 | __main__                       | INFO     | Measuring: 30 runs, 128 new tokens each...
2026-09-13 12:56:33 | __main__                       | INFO     |   Run 1/30: 37.2 tok/s, TTFT=133.9ms, TPOT=21.7ms, VRAM=2147MB, Power=62.8W, J/tok=1.675
2026-09-13 12:56:37 | __main__                       | INFO     |   Run 2/30: 38.9 tok/s, TTFT=134.3ms, TPOT=20.4ms, VRAM=2147MB, Power=62.9W, J/tok=1.604
2026-09-13 12:56:40 | __main__                       | INFO     |   Run 3/30: 36.6 tok/s, TTFT=135.0ms, TPOT=22.1ms, VRAM=2147MB, Power=62.2W, J/tok=1.682
2026-09-13 12:56:44 | __main__                       | INFO     |   Run 4/30: 36.3 tok/s, TTFT=135.0ms, TPOT=22.3ms, VRAM=2147MB, Power=60.7W, J/tok=1.667
2026-09-13 12:56:47 | __main__                       | INFO     |   Run 5/30: 36.4 tok/s, TTFT=140.8ms, TPOT=22.2ms, VRAM=2147MB, Power=61.6W, J/tok=1.689
2026-09-13 12:56:51 | __main__                       | INFO     |   Run 6/30: 36.6 tok/s, TTFT=142.7ms, TPOT=22.0ms, VRAM=2147MB, Power=61.8W, J/tok=1.673
2026-09-13 12:56:54 | __main__                       | INFO     |   Run 7/30: 36.5 tok/s, TTFT=139.8ms, TPOT=22.1ms, VRAM=2147MB, Power=61.6W, J/tok=1.667
2026-09-13 12:56:58 | __main__                       | INFO     |   Run 8/30: 36.4 tok/s, TTFT=143.2ms, TPOT=22.1ms, VRAM=2147MB, Power=61.5W, J/tok=1.688
2026-09-13 12:57:01 | __main__                       | INFO     |   Run 9/30: 38.7 tok/s, TTFT=147.0ms, TPOT=20.4ms, VRAM=2147MB, Power=62.5W, J/tok=1.595
2026-09-13 12:57:04 | __main__                       | INFO     |   Run 10/30: 38.6 tok/s, TTFT=151.6ms, TPOT=20.4ms, VRAM=2147MB, Power=63.7W, J/tok=1.648
2026-09-13 12:57:08 | __main__                       | INFO     |   Run 11/30: 35.5 tok/s, TTFT=156.4ms, TPOT=22.7ms, VRAM=2147MB, Power=61.3W, J/tok=1.706
2026-09-13 12:57:12 | __main__                       | INFO     |   Run 12/30: 35.8 tok/s, TTFT=154.6ms, TPOT=22.5ms, VRAM=2147MB, Power=61.0W, J/tok=1.698
2026-09-13 12:57:15 | __main__                       | INFO     |   Run 13/30: 37.2 tok/s, TTFT=158.3ms, TPOT=21.4ms, VRAM=2147MB, Power=62.2W, J/tok=1.657
2026-09-13 12:57:19 | __main__                       | INFO     |   Run 14/30: 35.1 tok/s, TTFT=149.3ms, TPOT=23.1ms, VRAM=2147MB, Power=60.9W, J/tok=1.718
2026-09-13 12:57:22 | __main__                       | INFO     |   Run 15/30: 36.1 tok/s, TTFT=156.6ms, TPOT=22.2ms, VRAM=2147MB, Power=60.5W, J/tok=1.661
2026-09-13 12:57:26 | __main__                       | INFO     |   Run 16/30: 38.6 tok/s, TTFT=146.2ms, TPOT=20.5ms, VRAM=2147MB, Power=61.4W, J/tok=1.588
2026-09-13 12:57:29 | __main__                       | INFO     |   Run 17/30: 36.8 tok/s, TTFT=159.5ms, TPOT=21.7ms, VRAM=2147MB, Power=60.7W, J/tok=1.640
2026-09-13 12:57:33 | __main__                       | INFO     |   Run 18/30: 36.1 tok/s, TTFT=150.0ms, TPOT=22.3ms, VRAM=2147MB, Power=59.9W, J/tok=1.643
2026-09-13 12:57:36 | __main__                       | INFO     |   Run 19/30: 38.3 tok/s, TTFT=146.8ms, TPOT=20.7ms, VRAM=2147MB, Power=60.4W, J/tok=1.564
2026-09-13 12:57:40 | __main__                       | INFO     |   Run 20/30: 36.9 tok/s, TTFT=149.4ms, TPOT=21.7ms, VRAM=2147MB, Power=59.3W, J/tok=1.603
2026-09-13 12:57:43 | __main__                       | INFO     |   Run 21/30: 37.6 tok/s, TTFT=150.0ms, TPOT=21.2ms, VRAM=2147MB, Power=59.1W, J/tok=1.552
2026-09-13 12:57:46 | __main__                       | INFO     |   Run 22/30: 36.7 tok/s, TTFT=149.3ms, TPOT=21.8ms, VRAM=2147MB, Power=58.4W, J/tok=1.580
2026-09-13 12:57:50 | __main__                       | INFO     |   Run 23/30: 38.2 tok/s, TTFT=149.9ms, TPOT=20.7ms, VRAM=2147MB, Power=58.7W, J/tok=1.520
2026-09-13 12:57:53 | __main__                       | INFO     |   Run 24/30: 37.2 tok/s, TTFT=149.6ms, TPOT=21.5ms, VRAM=2147MB, Power=57.8W, J/tok=1.540
2026-09-13 12:57:57 | __main__                       | INFO     |   Run 25/30: 35.2 tok/s, TTFT=150.9ms, TPOT=23.0ms, VRAM=2147MB, Power=57.6W, J/tok=1.625
